




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	go-genelist-py-elastic.csv (Homo sapiens)go-genelist-r.csv (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Homo sapiens - REFLIST (20589)	go-genelist-py-elastic.csv (79)	go-genelist-py-elastic.csv (expected)	go-genelist-py-elastic.csv (over/under)	go-genelist-py-elastic.csv (fold Enrichment)	go-genelist-py-elastic.csv (raw P-value)	go-genelist-r.csv (142)	go-genelist-r.csv (expected)	go-genelist-r.csv (over/under)	go-genelist-r.csv (fold Enrichment)	go-genelist-r.csv (raw P-value)
glutathione transport (GO:0034635)	9	1	.03	+	28.96	3.76E-02	0	.06	-	 < 0.01	1.00E00
spermidine metabolic process (GO:0008216)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
epithelial cell proliferation involved in prostate gland development (GO:0060767)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
response to denervation involved in regulation of muscle adaptation (GO:0014894)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
response to muscle inactivity involved in regulation of muscle adaptation (GO:0014877)	9	1	.03	+	28.96	3.76E-02	1	.06	+	16.11	6.64E-02
cellular response to zinc ion starvation (GO:0034224)	9	1	.03	+	28.96	3.76E-02	0	.06	-	 < 0.01	1.00E00
'de novo' post-translational protein folding (GO:0051084)	37	4	.14	+	28.18	1.80E-05	3	.26	+	11.76	2.58E-03
positive regulation of monocyte differentiation (GO:0045657)	10	1	.04	+	26.06	4.13E-02	1	.07	+	14.50	7.28E-02
positive regulation of growth hormone secretion (GO:0060124)	10	1	.04	+	26.06	4.13E-02	0	.07	-	 < 0.01	1.00E00
ornithine metabolic process (GO:0006591)	10	1	.04	+	26.06	4.13E-02	0	.07	-	 < 0.01	1.00E00
translational readthrough (GO:0006451)	10	1	.04	+	26.06	4.13E-02	0	.07	-	 < 0.01	1.00E00
manganese ion transmembrane transport (GO:0071421)	10	1	.04	+	26.06	4.13E-02	1	.07	+	14.50	7.28E-02
selenocysteine incorporation (GO:0001514)	10	1	.04	+	26.06	4.13E-02	0	.07	-	 < 0.01	1.00E00
positive regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000343)	10	1	.04	+	26.06	4.13E-02	1	.07	+	14.50	7.28E-02
response to cobalt ion (GO:0032025)	10	1	.04	+	26.06	4.13E-02	1	.07	+	14.50	7.28E-02
regulation of prostaglandin biosynthetic process (GO:0031392)	10	1	.04	+	26.06	4.13E-02	1	.07	+	14.50	7.28E-02
amine catabolic process (GO:0009310)	20	2	.08	+	26.06	3.17E-03	3	.14	+	21.75	5.04E-04
proline transmembrane transport (GO:0035524)	10	1	.04	+	26.06	4.13E-02	0	.07	-	 < 0.01	1.00E00
regulation of phosphatidylcholine metabolic process (GO:0150172)	10	1	.04	+	26.06	4.13E-02	0	.07	-	 < 0.01	1.00E00
positive regulation of hormone biosynthetic process (GO:0046886)	10	1	.04	+	26.06	4.13E-02	0	.07	-	 < 0.01	1.00E00
cellular biogenic amine catabolic process (GO:0042402)	20	2	.08	+	26.06	3.17E-03	3	.14	+	21.75	5.04E-04
autophagy of peroxisome (GO:0030242)	10	1	.04	+	26.06	4.13E-02	0	.07	-	 < 0.01	1.00E00
regulation of epithelial cell proliferation involved in prostate gland development (GO:0060768)	10	1	.04	+	26.06	4.13E-02	1	.07	+	14.50	7.28E-02
response to muscle inactivity (GO:0014870)	10	1	.04	+	26.06	4.13E-02	1	.07	+	14.50	7.28E-02
'de novo' protein folding (GO:0006458)	41	4	.16	+	25.43	2.61E-05	3	.28	+	10.61	3.39E-03
regulation of dendritic cell antigen processing and presentation (GO:0002604)	11	1	.04	+	23.69	4.49E-02	2	.08	+	26.36	3.46E-03
negative regulation of neuroblast proliferation (GO:0007406)	11	1	.04	+	23.69	4.49E-02	1	.08	+	13.18	7.92E-02
manganese ion transport (GO:0006828)	11	1	.04	+	23.69	4.49E-02	1	.08	+	13.18	7.92E-02
positive regulation by host of viral genome replication (GO:0044829)	11	1	.04	+	23.69	4.49E-02	0	.08	-	 < 0.01	1.00E00
cellular response to parathyroid hormone stimulus (GO:0071374)	11	1	.04	+	23.69	4.49E-02	0	.08	-	 < 0.01	1.00E00
negative thymic T cell selection (GO:0045060)	11	1	.04	+	23.69	4.49E-02	1	.08	+	13.18	7.92E-02
positive thymic T cell selection (GO:0045059)	11	1	.04	+	23.69	4.49E-02	1	.08	+	13.18	7.92E-02
response to folic acid (GO:0051593)	11	1	.04	+	23.69	4.49E-02	1	.08	+	13.18	7.92E-02
serine transport (GO:0032329)	11	1	.04	+	23.69	4.49E-02	0	.08	-	 < 0.01	1.00E00
positive regulation of phospholipid biosynthetic process (GO:0071073)	11	1	.04	+	23.69	4.49E-02	0	.08	-	 < 0.01	1.00E00
regulation of inflammatory response to wounding (GO:0106014)	11	1	.04	+	23.69	4.49E-02	1	.08	+	13.18	7.92E-02
L-glutamate import across plasma membrane (GO:0098712)	11	1	.04	+	23.69	4.49E-02	0	.08	-	 < 0.01	1.00E00
positive regulation of RIG-I signaling pathway (GO:1900246)	11	1	.04	+	23.69	4.49E-02	0	.08	-	 < 0.01	1.00E00
leukocyte adhesion to vascular endothelial cell (GO:0061756)	22	2	.08	+	23.69	3.77E-03	1	.15	+	6.59	1.46E-01
proline transport (GO:0015824)	11	1	.04	+	23.69	4.49E-02	0	.08	-	 < 0.01	1.00E00
protein folding in endoplasmic reticulum (GO:0034975)	11	1	.04	+	23.69	4.49E-02	0	.08	-	 < 0.01	1.00E00
response to mercury ion (GO:0046689)	11	1	.04	+	23.69	4.49E-02	0	.08	-	 < 0.01	1.00E00
intestinal cholesterol absorption (GO:0030299)	11	1	.04	+	23.69	4.49E-02	1	.08	+	13.18	7.92E-02
short-term memory (GO:0007614)	11	1	.04	+	23.69	4.49E-02	1	.08	+	13.18	7.92E-02
amino sugar biosynthetic process (GO:0046349)	11	1	.04	+	23.69	4.49E-02	1	.08	+	13.18	7.92E-02
negative regulation of cell growth involved in cardiac muscle cell development (GO:0061052)	11	1	.04	+	23.69	4.49E-02	0	.08	-	 < 0.01	1.00E00
oxalate transport (GO:0019532)	11	1	.04	+	23.69	4.49E-02	1	.08	+	13.18	7.92E-02
peptide catabolic process (GO:0043171)	23	2	.09	+	22.66	4.09E-03	0	.16	-	 < 0.01	1.00E00
regulation of unsaturated fatty acid biosynthetic process (GO:2001279)	12	1	.05	+	21.72	4.86E-02	1	.08	+	12.08	8.55E-02
positive regulation of vasculogenesis (GO:2001214)	12	1	.05	+	21.72	4.86E-02	0	.08	-	 < 0.01	1.00E00
B cell apoptotic process (GO:0001783)	12	1	.05	+	21.72	4.86E-02	1	.08	+	12.08	8.55E-02
p38MAPK cascade (GO:0038066)	12	1	.05	+	21.72	4.86E-02	0	.08	-	 < 0.01	1.00E00
G protein-coupled receptor internalization (GO:0002031)	12	1	.05	+	21.72	4.86E-02	0	.08	-	 < 0.01	1.00E00
positive regulation of keratinocyte migration (GO:0051549)	12	1	.05	+	21.72	4.86E-02	0	.08	-	 < 0.01	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440)	12	1	.05	+	21.72	4.86E-02	0	.08	-	 < 0.01	1.00E00
N-acetylneuraminate metabolic process (GO:0006054)	12	1	.05	+	21.72	4.86E-02	0	.08	-	 < 0.01	1.00E00
negative T cell selection (GO:0043383)	12	1	.05	+	21.72	4.86E-02	1	.08	+	12.08	8.55E-02
insulin secretion involved in cellular response to glucose stimulus (GO:0035773)	12	1	.05	+	21.72	4.86E-02	0	.08	-	 < 0.01	1.00E00
sulfur amino acid transport (GO:0000101)	12	1	.05	+	21.72	4.86E-02	0	.08	-	 < 0.01	1.00E00
amino-acid betaine transport (GO:0015838)	12	1	.05	+	21.72	4.86E-02	0	.08	-	 < 0.01	1.00E00
mitochondrial outer membrane permeabilization (GO:0097345)	12	1	.05	+	21.72	4.86E-02	0	.08	-	 < 0.01	1.00E00
negative regulation of glycoprotein biosynthetic process (GO:0010561)	12	1	.05	+	21.72	4.86E-02	1	.08	+	12.08	8.55E-02
response to hydroxyurea (GO:0072710)	12	1	.05	+	21.72	4.86E-02	0	.08	-	 < 0.01	1.00E00
vascular associated smooth muscle cell development (GO:0097084)	12	1	.05	+	21.72	4.86E-02	0	.08	-	 < 0.01	1.00E00
positive regulation of neutrophil chemotaxis (GO:0090023)	25	2	.10	+	20.85	4.76E-03	1	.17	+	5.80	1.64E-01
protein refolding (GO:0042026)	25	2	.10	+	20.85	4.76E-03	0	.17	-	 < 0.01	1.00E00
positive regulation of osteoclast differentiation (GO:0045672)	28	2	.11	+	18.62	5.85E-03	0	.19	-	 < 0.01	1.00E00
mature B cell differentiation involved in immune response (GO:0002313)	28	2	.11	+	18.62	5.85E-03	2	.19	+	10.36	1.79E-02
positive regulation of granulocyte chemotaxis (GO:0071624)	28	2	.11	+	18.62	5.85E-03	1	.19	+	5.18	1.81E-01
glutamine metabolic process (GO:0006541)	28	2	.11	+	18.62	5.85E-03	3	.19	+	15.53	1.23E-03
cellular response to dexamethasone stimulus (GO:0071549)	28	2	.11	+	18.62	5.85E-03	3	.19	+	15.53	1.23E-03
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902043)	14	1	.05	+	18.62	5.58E-02	2	.10	+	20.71	5.25E-03
androgen metabolic process (GO:0008209)	29	2	.11	+	17.97	6.24E-03	1	.20	+	5.00	1.86E-01
regulation of amino acid transport (GO:0051955)	44	3	.17	+	17.77	7.72E-04	1	.30	+	3.30	2.66E-01
response to arsenic-containing substance (GO:0046685)	30	2	.12	+	17.37	6.64E-03	1	.21	+	4.83	1.92E-01
lipid digestion (GO:0044241)	16	1	.06	+	16.29	6.31E-02	2	.11	+	18.12	6.63E-03
negative regulation of G protein-coupled receptor signaling pathway (GO:0045744)	49	3	.19	+	15.96	1.04E-03	0	.34	-	 < 0.01	1.00E00
integrated stress response signaling (GO:0140467)	33	2	.13	+	15.80	7.91E-03	0	.23	-	 < 0.01	1.00E00
regulation of neutrophil chemotaxis (GO:0090022)	33	2	.13	+	15.80	7.91E-03	1	.23	+	4.39	2.09E-01
cellular response to aldehyde (GO:0110096)	17	1	.07	+	15.33	6.66E-02	2	.12	+	17.06	7.38E-03
regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)	34	2	.13	+	15.33	8.35E-03	1	.23	+	4.26	2.14E-01
chaperone-mediated protein folding (GO:0061077)	68	4	.26	+	15.33	1.67E-04	3	.47	+	6.40	1.28E-02
female pregnancy (GO:0007565)	174	10	.67	+	14.98	2.07E-09	3	1.20	+	2.50	1.22E-01
positive regulation of neutrophil migration (GO:1902624)	35	2	.13	+	14.89	8.81E-03	1	.24	+	4.14	2.19E-01
mature B cell differentiation (GO:0002335)	35	2	.13	+	14.89	8.81E-03	2	.24	+	8.29	2.65E-02
bicarbonate transport (GO:0015701)	35	2	.13	+	14.89	8.81E-03	2	.24	+	8.29	2.65E-02
neutral amino acid transport (GO:0015804)	54	3	.21	+	14.48	1.36E-03	1	.37	+	2.69	3.15E-01
skeletal muscle cell differentiation (GO:0035914)	55	3	.21	+	14.22	1.43E-03	2	.38	+	5.27	5.82E-02
biogenic amine biosynthetic process (GO:0042401)	37	2	.14	+	14.09	9.75E-03	1	.26	+	3.92	2.30E-01
amino acid import across plasma membrane (GO:0089718)	37	2	.14	+	14.09	9.75E-03	0	.26	-	 < 0.01	1.00E00
negative regulation of anoikis (GO:2000811)	19	1	.07	+	13.72	7.38E-02	2	.13	+	15.26	8.98E-03
response to mineralocorticoid (GO:0051385)	38	2	.15	+	13.72	1.02E-02	1	.26	+	3.82	2.35E-01
amine biosynthetic process (GO:0009309)	38	2	.15	+	13.72	1.02E-02	1	.26	+	3.82	2.35E-01
positive regulation of heart contraction (GO:0045823)	38	2	.15	+	13.72	1.02E-02	1	.26	+	3.82	2.35E-01
regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902229)	39	2	.15	+	13.37	1.07E-02	1	.27	+	3.72	2.41E-01
cellular response to cadmium ion (GO:0071276)	39	2	.15	+	13.37	1.07E-02	0	.27	-	 < 0.01	1.00E00
acidic amino acid transport (GO:0015800)	39	2	.15	+	13.37	1.07E-02	0	.27	-	 < 0.01	1.00E00
positive regulation of blood circulation (GO:1903524)	39	2	.15	+	13.37	1.07E-02	1	.27	+	3.72	2.41E-01
multi-organism reproductive process (GO:0044703)	195	10	.75	+	13.37	5.88E-09	3	1.34	+	2.23	1.55E-01
regulation of antigen processing and presentation (GO:0002577)	20	1	.08	+	13.03	7.73E-02	2	.14	+	14.50	9.84E-03
cell redox homeostasis (GO:0045454)	40	2	.15	+	13.03	1.13E-02	1	.28	+	3.62	2.46E-01
response to progesterone (GO:0032570)	40	2	.15	+	13.03	1.13E-02	2	.28	+	7.25	3.36E-02
mitophagy (GO:0000423)	20	1	.08	+	13.03	7.73E-02	2	.14	+	14.50	9.84E-03
ceramide catabolic process (GO:0046514)	20	1	.08	+	13.03	7.73E-02	2	.14	+	14.50	9.84E-03
positive regulation of myeloid leukocyte differentiation (GO:0002763)	60	3	.23	+	13.03	1.81E-03	1	.41	+	2.42	3.43E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	61	3	.23	+	12.82	1.89E-03	1	.42	+	2.38	3.47E-01
maternal process involved in female pregnancy (GO:0060135)	61	3	.23	+	12.82	1.89E-03	1	.42	+	2.38	3.47E-01
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	41	2	.16	+	12.71	1.18E-02	1	.28	+	3.54	2.51E-01
multi-multicellular organism process (GO:0044706)	205	10	.79	+	12.71	9.28E-09	4	1.41	+	2.83	5.58E-02
aspartate family amino acid biosynthetic process (GO:0009067)	21	1	.08	+	12.41	8.08E-02	2	.14	+	13.81	1.07E-02
maintenance of protein localization in organelle (GO:0072595)	42	2	.16	+	12.41	1.23E-02	1	.29	+	3.45	2.56E-01
response to dexamethasone (GO:0071548)	44	2	.17	+	11.85	1.34E-02	3	.30	+	9.89	4.09E-03
cellular detoxification (GO:1990748)	110	5	.42	+	11.85	7.93E-05	6	.76	+	7.91	1.49E-04
positive regulation of RNA splicing (GO:0033120)	45	2	.17	+	11.58	1.40E-02	0	.31	-	 < 0.01	1.00E00
cellular response to vascular endothelial growth factor stimulus (GO:0035924)	45	2	.17	+	11.58	1.40E-02	1	.31	+	3.22	2.71E-01
response to pH (GO:0009268)	45	2	.17	+	11.58	1.40E-02	2	.31	+	6.44	4.12E-02
regulation of fatty acid biosynthetic process (GO:0042304)	45	2	.17	+	11.58	1.40E-02	2	.31	+	6.44	4.12E-02
regulation of neutrophil migration (GO:1902622)	46	2	.18	+	11.33	1.45E-02	1	.32	+	3.15	2.76E-01
calcium-mediated signaling using intracellular calcium source (GO:0035584)	23	1	.09	+	11.33	8.79E-02	2	.16	+	12.61	1.26E-02
modified amino acid transport (GO:0072337)	47	2	.18	+	11.09	1.51E-02	0	.32	-	 < 0.01	1.00E00
platelet aggregation (GO:0070527)	47	2	.18	+	11.09	1.51E-02	1	.32	+	3.08	2.81E-01
cellular response to toxic substance (GO:0097237)	119	5	.46	+	10.95	1.13E-04	6	.82	+	7.31	2.23E-04
response to glucocorticoid (GO:0051384)	143	6	.55	+	10.94	2.29E-05	4	.99	+	4.06	1.86E-02
L-amino acid transport (GO:0015807)	73	3	.28	+	10.71	3.09E-03	1	.50	+	1.99	3.99E-01
protein targeting to vacuole (GO:0006623)	49	2	.19	+	10.64	1.63E-02	0	.34	-	 < 0.01	1.00E00
amine metabolic process (GO:0009308)	99	4	.38	+	10.53	6.56E-04	4	.68	+	5.86	5.53E-03
glutamine family amino acid metabolic process (GO:0009064)	75	3	.29	+	10.42	3.33E-03	3	.52	+	5.80	1.65E-02
cellular response to amino acid starvation (GO:0034198)	50	2	.19	+	10.42	1.69E-02	1	.34	+	2.90	2.96E-01
antigen processing and presentation of exogenous antigen (GO:0019884)	50	2	.19	+	10.42	1.69E-02	1	.34	+	2.90	2.96E-01
positive regulation of myeloid cell differentiation (GO:0045639)	102	4	.39	+	10.22	7.31E-04	3	.70	+	4.26	3.56E-02
response to nicotine (GO:0035094)	51	2	.20	+	10.22	1.75E-02	1	.35	+	2.84	3.01E-01
sulfur compound transport (GO:0072348)	52	2	.20	+	10.02	1.82E-02	1	.36	+	2.79	3.06E-01
regulation of granulocyte chemotaxis (GO:0071622)	52	2	.20	+	10.02	1.82E-02	2	.36	+	5.58	5.29E-02
regulation of anoikis (GO:2000209)	26	1	.10	+	10.02	9.83E-02	2	.18	+	11.15	1.57E-02
response to muscle stretch (GO:0035994)	26	1	.10	+	10.02	9.83E-02	2	.18	+	11.15	1.57E-02
positive regulation of miRNA transcription (GO:1902895)	52	2	.20	+	10.02	1.82E-02	0	.36	-	 < 0.01	1.00E00
response to amino acid starvation (GO:1990928)	53	2	.20	+	9.83	1.88E-02	1	.37	+	2.74	3.10E-01
regulation of organic acid transport (GO:0032890)	80	3	.31	+	9.77	3.96E-03	2	.55	+	3.62	1.09E-01
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	54	2	.21	+	9.65	1.94E-02	3	.37	+	8.06	7.03E-03
response to zinc ion (GO:0010043)	55	2	.21	+	9.48	2.01E-02	2	.38	+	5.27	5.82E-02
cellular response to glucocorticoid stimulus (GO:0071385)	55	2	.21	+	9.48	2.01E-02	3	.38	+	7.91	7.37E-03
response to cold (GO:0009409)	55	2	.21	+	9.48	2.01E-02	0	.38	-	 < 0.01	1.00E00
detoxification (GO:0098754)	139	5	.53	+	9.37	2.28E-04	6	.96	+	6.26	4.95E-04
response to corticosteroid (GO:0031960)	167	6	.64	+	9.36	5.29E-05	5	1.15	+	4.34	6.67E-03
leukocyte cell-cell adhesion (GO:0007159)	56	2	.21	+	9.31	2.08E-02	1	.39	+	2.59	3.25E-01
B cell activation involved in immune response (GO:0002312)	57	2	.22	+	9.14	2.14E-02	2	.39	+	5.09	6.19E-02
response to ischemia (GO:0002931)	57	2	.22	+	9.14	2.14E-02	0	.39	-	 < 0.01	1.00E00
cellular response to starvation (GO:0009267)	173	6	.66	+	9.04	6.39E-05	7	1.19	+	5.87	2.46E-04
positive regulation of miRNA metabolic process (GO:2000630)	58	2	.22	+	8.99	2.21E-02	0	.40	-	 < 0.01	1.00E00
modulation by symbiont of entry into host (GO:0052372)	58	2	.22	+	8.99	2.21E-02	1	.40	+	2.50	3.34E-01
associative learning (GO:0008306)	88	3	.34	+	8.88	5.13E-03	1	.61	+	1.65	4.58E-01
positive regulation of lipid biosynthetic process (GO:0046889)	89	3	.34	+	8.78	5.29E-03	1	.61	+	1.63	4.62E-01
response to unfolded protein (GO:0006986)	119	4	.46	+	8.76	1.27E-03	3	.82	+	3.66	5.16E-02
sphingolipid catabolic process (GO:0030149)	30	1	.12	+	8.69	1.12E-01	2	.21	+	9.67	2.02E-02
biogenic amine metabolic process (GO:0006576)	90	3	.35	+	8.69	5.45E-03	3	.62	+	4.83	2.61E-02
cellular oxidant detoxification (GO:0098869)	90	3	.35	+	8.69	5.45E-03	5	.62	+	8.06	4.96E-04
response to starvation (GO:0042594)	213	7	.82	+	8.56	2.13E-05	7	1.47	+	4.77	8.16E-04
negative regulation of muscle cell differentiation (GO:0051148)	61	2	.23	+	8.54	2.42E-02	0	.42	-	 < 0.01	1.00E00
one-carbon compound transport (GO:0019755)	61	2	.23	+	8.54	2.42E-02	2	.42	+	4.75	6.94E-02
amino acid transmembrane transport (GO:0003333)	92	3	.35	+	8.50	5.78E-03	1	.63	+	1.58	4.73E-01
response to cadmium ion (GO:0046686)	62	2	.24	+	8.41	2.50E-02	0	.43	-	 < 0.01	1.00E00
cellular response to carbohydrate stimulus (GO:0071322)	93	3	.36	+	8.41	5.95E-03	2	.64	+	3.12	1.38E-01
homotypic cell-cell adhesion (GO:0034109)	64	2	.25	+	8.14	2.64E-02	1	.44	+	2.27	3.61E-01
SMAD protein signal transduction (GO:0060395)	64	2	.25	+	8.14	2.64E-02	2	.44	+	4.53	7.52E-02
cellular response to extracellular stimulus (GO:0031668)	259	8	.99	+	8.05	8.25E-06	9	1.79	+	5.04	9.86E-05
cellular response to corticosteroid stimulus (GO:0071384)	65	2	.25	+	8.02	2.72E-02	4	.45	+	8.92	1.29E-03
regulation of amine transport (GO:0051952)	98	3	.38	+	7.98	6.85E-03	1	.68	+	1.48	4.94E-01
maintenance of protein location (GO:0045185)	98	3	.38	+	7.98	6.85E-03	1	.68	+	1.48	4.94E-01
maintenance of protein location in cell (GO:0032507)	66	2	.25	+	7.90	2.79E-02	1	.46	+	2.20	3.70E-01
regulation of biological process involved in symbiotic interaction (GO:0043903)	66	2	.25	+	7.90	2.79E-02	1	.46	+	2.20	3.70E-01
establishment of skin barrier (GO:0061436)	33	1	.13	+	7.90	1.22E-01	2	.23	+	8.79	2.39E-02
response to hydrogen peroxide (GO:0042542)	100	3	.38	+	7.82	7.23E-03	3	.69	+	4.35	3.39E-02
establishment of protein localization to vacuole (GO:0072666)	67	2	.26	+	7.78	2.87E-02	1	.46	+	2.16	3.74E-01
response to toxic substance (GO:0009636)	235	7	.90	+	7.76	3.92E-05	7	1.62	+	4.32	1.42E-03
protein localization to endoplasmic reticulum (GO:0070972)	68	2	.26	+	7.67	2.95E-02	3	.47	+	6.40	1.28E-02
animal organ regeneration (GO:0031100)	68	2	.26	+	7.67	2.95E-02	1	.47	+	2.13	3.78E-01
dicarboxylic acid transport (GO:0006835)	69	2	.26	+	7.55	3.02E-02	1	.48	+	2.10	3.82E-01
regulation of cellular ketone metabolic process (GO:0010565)	138	4	.53	+	7.55	2.15E-03	2	.95	+	2.10	2.49E-01
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	104	3	.40	+	7.52	8.02E-03	2	.72	+	2.79	1.64E-01
response to reactive oxygen species (GO:0000302)	175	5	.67	+	7.45	6.35E-04	3	1.21	+	2.49	1.23E-01
cellular response to ketone (GO:1901655)	105	3	.40	+	7.45	8.23E-03	4	.72	+	5.52	6.74E-03
response to activity (GO:0014823)	70	2	.27	+	7.45	3.10E-02	1	.48	+	2.07	3.87E-01
response to topologically incorrect protein (GO:0035966)	141	4	.54	+	7.39	2.32E-03	3	.97	+	3.08	7.65E-02
antigen processing and presentation of peptide antigen (GO:0048002)	71	2	.27	+	7.34	3.18E-02	1	.49	+	2.04	3.91E-01
regulation of miRNA transcription (GO:1902893)	71	2	.27	+	7.34	3.18E-02	0	.49	-	 < 0.01	1.00E00
regulation of signal transduction by p53 class mediator (GO:1901796)	107	3	.41	+	7.31	8.65E-03	2	.74	+	2.71	1.72E-01
regulation of osteoclast differentiation (GO:0045670)	72	2	.28	+	7.24	3.26E-02	1	.50	+	2.01	3.95E-01
membrane lipid catabolic process (GO:0046466)	36	1	.14	+	7.24	1.32E-01	3	.25	+	12.08	2.40E-03
amino acid biosynthetic process (GO:0008652)	74	2	.28	+	7.04	3.43E-02	6	.51	+	11.76	1.84E-05
body fluid secretion (GO:0007589)	74	2	.28	+	7.04	3.43E-02	2	.51	+	3.92	9.57E-02
receptor internalization (GO:0031623)	75	2	.29	+	6.95	3.51E-02	0	.52	-	 < 0.01	1.00E00
ovulation cycle (GO:0042698)	75	2	.29	+	6.95	3.51E-02	3	.52	+	5.80	1.65E-02
cellular response to nutrient levels (GO:0031669)	229	6	.88	+	6.83	2.82E-04	8	1.58	+	5.07	2.34E-04
cellular response to glucose stimulus (GO:0071333)	77	2	.30	+	6.77	3.68E-02	2	.53	+	3.77	1.02E-01
prostaglandin metabolic process (GO:0006693)	39	1	.15	+	6.68	1.42E-01	2	.27	+	7.44	3.21E-02
prostanoid metabolic process (GO:0006692)	39	1	.15	+	6.68	1.42E-01	2	.27	+	7.44	3.21E-02
learning (GO:0007612)	156	4	.60	+	6.68	3.31E-03	1	1.08	-	.93	1.00E00
amino acid transport (GO:0006865)	118	3	.45	+	6.63	1.12E-02	1	.81	+	1.23	5.60E-01
cellular response to hexose stimulus (GO:0071331)	79	2	.30	+	6.60	3.85E-02	2	.54	+	3.67	1.06E-01
regulation of muscle adaptation (GO:0043502)	79	2	.30	+	6.60	3.85E-02	1	.54	+	1.84	4.24E-01
complement activation, classical pathway (GO:0006958)	40	1	.15	+	6.52	1.45E-01	2	.28	+	7.25	3.36E-02
T cell activation involved in immune response (GO:0002286)	81	2	.31	+	6.44	4.02E-02	2	.56	+	3.58	1.11E-01
cellular response to monosaccharide stimulus (GO:0071326)	81	2	.31	+	6.44	4.02E-02	2	.56	+	3.58	1.11E-01
response to lipopolysaccharide (GO:0032496)	324	8	1.24	+	6.44	3.95E-05	5	2.23	+	2.24	7.62E-02
regulation of miRNA metabolic process (GO:2000628)	82	2	.31	+	6.36	4.11E-02	0	.57	-	 < 0.01	1.00E00
cellular response to external stimulus (GO:0071496)	328	8	1.26	+	6.36	4.29E-05	9	2.26	+	3.98	5.36E-04
response to steroid hormone (GO:0048545)	289	7	1.11	+	6.31	1.38E-04	7	1.99	+	3.51	4.36E-03
negative regulation of protein ubiquitination (GO:0031397)	83	2	.32	+	6.28	4.20E-02	2	.57	+	3.49	1.15E-01
stress-activated protein kinase signaling cascade (GO:0031098)	83	2	.32	+	6.28	4.20E-02	1	.57	+	1.75	4.39E-01
protein localization to vacuole (GO:0072665)	83	2	.32	+	6.28	4.20E-02	1	.57	+	1.75	4.39E-01
cellular response to reactive oxygen species (GO:0034614)	125	3	.48	+	6.25	1.30E-02	1	.86	+	1.16	5.80E-01
regulation of myeloid leukocyte differentiation (GO:0002761)	125	3	.48	+	6.25	1.30E-02	2	.86	+	2.32	2.16E-01
acute-phase response (GO:0006953)	42	1	.16	+	6.21	1.52E-01	2	.29	+	6.90	3.65E-02
cellular response to fibroblast growth factor stimulus (GO:0044344)	84	2	.32	+	6.21	4.29E-02	0	.58	-	 < 0.01	1.00E00
amino sugar metabolic process (GO:0006040)	42	1	.16	+	6.21	1.52E-01	2	.29	+	6.90	3.65E-02
acute inflammatory response (GO:0002526)	85	2	.33	+	6.13	4.38E-02	3	.59	+	5.12	2.26E-02
response to molecule of bacterial origin (GO:0002237)	342	8	1.31	+	6.10	5.72E-05	5	2.36	+	2.12	9.06E-02
vascular transport (GO:0010232)	86	2	.33	+	6.06	4.47E-02	1	.59	+	1.69	4.51E-01
transport across blood-brain barrier (GO:0150104)	86	2	.33	+	6.06	4.47E-02	1	.59	+	1.69	4.51E-01
response to ethanol (GO:0045471)	129	3	.49	+	6.06	1.42E-02	2	.89	+	2.25	2.26E-01
cellular response to oxidative stress (GO:0034599)	218	5	.84	+	5.98	1.65E-03	3	1.50	+	2.00	1.94E-01
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	44	1	.17	+	5.92	1.58E-01	2	.30	+	6.59	3.96E-02
regulation of bone resorption (GO:0045124)	44	1	.17	+	5.92	1.58E-01	2	.30	+	6.59	3.96E-02
regulation of organ growth (GO:0046620)	88	2	.34	+	5.92	4.65E-02	1	.61	+	1.65	4.58E-01
B cell differentiation (GO:0030183)	132	3	.51	+	5.92	1.50E-02	3	.91	+	3.30	6.58E-02
protein folding (GO:0006457)	220	5	.84	+	5.92	1.71E-03	3	1.52	+	1.98	1.97E-01
regulation of lipid biosynthetic process (GO:0046890)	177	4	.68	+	5.89	5.13E-03	2	1.22	+	1.64	3.47E-01
response to mechanical stimulus (GO:0009612)	223	5	.86	+	5.84	1.82E-03	5	1.54	+	3.25	2.05E-02
