




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	go-genelist-py-5.csv (Homo sapiens)go-genelist-r.csv (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Homo sapiens - REFLIST (20589)	go-genelist-py-5.csv (113)	go-genelist-py-5.csv (expected)	go-genelist-py-5.csv (over/under)	go-genelist-py-5.csv (fold Enrichment)	go-genelist-py-5.csv (raw P-value)	go-genelist-r.csv (142)	go-genelist-r.csv (expected)	go-genelist-r.csv (over/under)	go-genelist-r.csv (fold Enrichment)	go-genelist-r.csv (raw P-value)
regulation of ribosome biogenesis (GO:0090069)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
hydrocarbon metabolic process (GO:0120252)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
astrocyte cell migration (GO:0043615)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
maintenance of lens transparency (GO:0036438)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
detection of muscle stretch (GO:0035995)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
response to nematode (GO:0009624)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
negative regulation of amyloid precursor protein biosynthetic process (GO:0042985)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
interleukin-27-mediated signaling pathway (GO:0070106)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
response to insecticide (GO:0017085)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
protein import into peroxisome matrix, receptor recycling (GO:0016562)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
ribosomal small subunit export from nucleus (GO:0000056)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
autocrine signaling (GO:0035425)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
positive regulation of protein kinase C activity (GO:1900020)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
regulation of protein kinase C activity (GO:1900019)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
receptor-mediated virion attachment to host cell (GO:0046813)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
negative regulation of p38MAPK cascade (GO:1903753)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
skeletal muscle thin filament assembly (GO:0030240)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
pancreatic juice secretion (GO:0030157)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
lipid hydroxylation (GO:0002933)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
cardiac neural crest cell migration involved in outflow tract morphogenesis (GO:0003253)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
L-kynurenine metabolic process (GO:0097052)	7	1	.04	+	26.03	4.28E-02	1	.05	+	20.71	5.35E-02
regulation of vitamin D biosynthetic process (GO:0060556)	7	1	.04	+	26.03	4.28E-02	0	.05	-	 < 0.01	1.00E00
regulation of T cell anergy (GO:0002667)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
regulation of germinal center formation (GO:0002634)	8	1	.04	+	22.78	4.81E-02	1	.06	+	18.12	6.00E-02
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	8	1	.04	+	22.78	4.81E-02	1	.06	+	18.12	6.00E-02
facial nerve structural organization (GO:0021612)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
cobalt ion transport (GO:0006824)	8	1	.04	+	22.78	4.81E-02	1	.06	+	18.12	6.00E-02
diacylglycerol biosynthetic process (GO:0006651)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
regulation of L-glutamate import across plasma membrane (GO:0002036)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
protein localization to endoplasmic reticulum exit site (GO:0070973)	8	1	.04	+	22.78	4.81E-02	1	.06	+	18.12	6.00E-02
positive regulation of T-helper 17 cell differentiation (GO:2000321)	8	1	.04	+	22.78	4.81E-02	1	.06	+	18.12	6.00E-02
cellular response to ether (GO:0071362)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
alkaloid metabolic process (GO:0009820)	8	1	.04	+	22.78	4.81E-02	1	.06	+	18.12	6.00E-02
coumarin metabolic process (GO:0009804)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
activated T cell proliferation (GO:0050798)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
phenylpropanoid metabolic process (GO:0009698)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
proton-transporting ATP synthase complex assembly (GO:0043461)	8	1	.04	+	22.78	4.81E-02	1	.06	+	18.12	6.00E-02
negative regulation of membrane protein ectodomain proteolysis (GO:0051045)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
gamma-aminobutyric acid metabolic process (GO:0009448)	8	1	.04	+	22.78	4.81E-02	2	.06	+	36.25	2.02E-03
hepatocyte growth factor receptor signaling pathway (GO:0048012)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
peptide modification (GO:0031179)	8	1	.04	+	22.78	4.81E-02	1	.06	+	18.12	6.00E-02
deoxyribonucleoside triphosphate metabolic process (GO:0009200)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
preassembly of GPI anchor in ER membrane (GO:0016254)	8	1	.04	+	22.78	4.81E-02	1	.06	+	18.12	6.00E-02
water-soluble vitamin biosynthetic process (GO:0042364)	8	1	.04	+	22.78	4.81E-02	1	.06	+	18.12	6.00E-02
response to luteinizing hormone (GO:0034699)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
cellular response to aldosterone (GO:1904045)	8	1	.04	+	22.78	4.81E-02	1	.06	+	18.12	6.00E-02
regulation of lymphocyte anergy (GO:0002911)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
regulation of branching involved in salivary gland morphogenesis (GO:0060693)	8	1	.04	+	22.78	4.81E-02	0	.06	-	 < 0.01	1.00E00
parturition (GO:0007567)	16	2	.09	+	22.78	4.27E-03	0	.11	-	 < 0.01	1.00E00
cellular response to aldehyde (GO:0110096)	17	2	.09	+	21.44	4.75E-03	2	.12	+	17.06	7.38E-03
endoplasmic reticulum tubular network organization (GO:0071786)	17	2	.09	+	21.44	4.75E-03	0	.12	-	 < 0.01	1.00E00
toxin metabolic process (GO:0009404)	17	2	.09	+	21.44	4.75E-03	1	.12	+	8.53	1.16E-01
cell migration involved in heart development (GO:0060973)	17	2	.09	+	21.44	4.75E-03	0	.12	-	 < 0.01	1.00E00
regulation of amino acid import across plasma membrane (GO:0010958)	18	2	.10	+	20.24	5.26E-03	1	.12	+	8.06	1.22E-01
regulation of amino acid transmembrane transport (GO:1903789)	18	2	.10	+	20.24	5.26E-03	1	.12	+	8.06	1.22E-01
tolerance induction (GO:0002507)	19	2	.10	+	19.18	5.80E-03	1	.13	+	7.63	1.28E-01
regulation of amyloid-beta clearance (GO:1900221)	19	2	.10	+	19.18	5.80E-03	0	.13	-	 < 0.01	1.00E00
ribosomal small subunit assembly (GO:0000028)	19	2	.10	+	19.18	5.80E-03	1	.13	+	7.63	1.28E-01
polyamine metabolic process (GO:0006595)	20	2	.11	+	18.22	6.35E-03	2	.14	+	14.50	9.84E-03
response to muramyl dipeptide (GO:0032495)	20	2	.11	+	18.22	6.35E-03	2	.14	+	14.50	9.84E-03
protein kinase A signaling (GO:0010737)	20	2	.11	+	18.22	6.35E-03	1	.14	+	7.25	1.34E-01
ceramide catabolic process (GO:0046514)	20	2	.11	+	18.22	6.35E-03	2	.14	+	14.50	9.84E-03
pyridine-containing compound biosynthetic process (GO:0072525)	31	3	.17	+	17.63	8.38E-04	2	.21	+	9.35	2.14E-02
glycogen biosynthetic process (GO:0005978)	21	2	.12	+	17.35	6.93E-03	1	.14	+	6.90	1.40E-01
glucan biosynthetic process (GO:0009250)	21	2	.12	+	17.35	6.93E-03	1	.14	+	6.90	1.40E-01
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	32	3	.18	+	17.08	9.13E-04	1	.22	+	4.53	2.03E-01
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	34	3	.19	+	16.08	1.07E-03	1	.23	+	4.26	2.14E-01
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002504)	35	3	.19	+	15.62	1.16E-03	1	.24	+	4.14	2.19E-01
regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640)	24	2	.13	+	15.18	8.81E-03	0	.17	-	 < 0.01	1.00E00
positive regulation of amino acid transport (GO:0051957)	25	2	.14	+	14.58	9.48E-03	1	.17	+	5.80	1.64E-01
NAD biosynthetic process (GO:0009435)	25	2	.14	+	14.58	9.48E-03	1	.17	+	5.80	1.64E-01
response to muscle stretch (GO:0035994)	26	2	.14	+	14.02	1.02E-02	2	.18	+	11.15	1.57E-02
retinol metabolic process (GO:0042572)	53	4	.29	+	13.75	2.66E-04	3	.37	+	8.21	6.69E-03
pyridine nucleotide biosynthetic process (GO:0019363)	27	2	.15	+	13.50	1.09E-02	1	.19	+	5.37	1.75E-01
nicotinamide nucleotide biosynthetic process (GO:0019359)	27	2	.15	+	13.50	1.09E-02	1	.19	+	5.37	1.75E-01
innervation (GO:0060384)	27	2	.15	+	13.50	1.09E-02	1	.19	+	5.37	1.75E-01
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	41	3	.23	+	13.33	1.78E-03	1	.28	+	3.54	2.51E-01
chronic inflammatory response (GO:0002544)	14	1	.08	+	13.01	7.88E-02	3	.10	+	31.07	1.99E-04
mature B cell differentiation involved in immune response (GO:0002313)	28	2	.15	+	13.01	1.16E-02	2	.19	+	10.36	1.79E-02
regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070424)	14	1	.08	+	13.01	7.88E-02	2	.10	+	20.71	5.25E-03
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042)	29	2	.16	+	12.57	1.24E-02	1	.20	+	5.00	1.86E-01
renal absorption (GO:0070293)	29	2	.16	+	12.57	1.24E-02	2	.20	+	10.00	1.90E-02
negative regulation of endothelial cell apoptotic process (GO:2000352)	30	2	.16	+	12.15	1.32E-02	1	.21	+	4.83	1.92E-01
isoprenoid biosynthetic process (GO:0008299)	30	2	.16	+	12.15	1.32E-02	1	.21	+	4.83	1.92E-01
sphingolipid catabolic process (GO:0030149)	30	2	.16	+	12.15	1.32E-02	2	.21	+	9.67	2.02E-02
response to iron ion (GO:0010039)	31	2	.17	+	11.76	1.40E-02	0	.21	-	 < 0.01	1.00E00
glycolipid catabolic process (GO:0019377)	16	1	.09	+	11.39	8.89E-02	2	.11	+	18.12	6.63E-03
lipid digestion (GO:0044241)	16	1	.09	+	11.39	8.89E-02	2	.11	+	18.12	6.63E-03
retinoic acid metabolic process (GO:0042573)	32	2	.18	+	11.39	1.48E-02	1	.22	+	4.53	2.03E-01
positive regulation of organic acid transport (GO:0032892)	49	3	.27	+	11.16	2.88E-03	1	.34	+	2.96	2.91E-01
positive regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043372)	33	2	.18	+	11.04	1.56E-02	1	.23	+	4.39	2.09E-01
establishment of skin barrier (GO:0061436)	33	2	.18	+	11.04	1.56E-02	2	.23	+	8.79	2.39E-02
establishment of endothelial barrier (GO:0061028)	33	2	.18	+	11.04	1.56E-02	0	.23	-	 < 0.01	1.00E00
antigen processing and presentation of exogenous antigen (GO:0019884)	50	3	.27	+	10.93	3.04E-03	1	.34	+	2.90	2.96E-01
retinoid metabolic process (GO:0001523)	85	5	.47	+	10.72	1.35E-04	3	.59	+	5.12	2.26E-02
protein export from nucleus (GO:0006611)	34	2	.19	+	10.72	1.65E-02	0	.23	-	 < 0.01	1.00E00
protein K63-linked deubiquitination (GO:0070536)	34	2	.19	+	10.72	1.65E-02	2	.23	+	8.53	2.52E-02
polysaccharide biosynthetic process (GO:0000271)	34	2	.19	+	10.72	1.65E-02	1	.23	+	4.26	2.14E-01
mature B cell differentiation (GO:0002335)	35	2	.19	+	10.41	1.74E-02	2	.24	+	8.29	2.65E-02
peroxisome organization (GO:0007031)	35	2	.19	+	10.41	1.74E-02	2	.24	+	8.29	2.65E-02
diterpenoid metabolic process (GO:0016101)	88	5	.48	+	10.35	1.57E-04	3	.61	+	4.94	2.47E-02
astrocyte development (GO:0014002)	36	2	.20	+	10.12	1.83E-02	1	.25	+	4.03	2.25E-01
regulation of amyloid-beta formation (GO:1902003)	36	2	.20	+	10.12	1.83E-02	0	.25	-	 < 0.01	1.00E00
membrane lipid catabolic process (GO:0046466)	36	2	.20	+	10.12	1.83E-02	3	.25	+	12.08	2.40E-03
negative regulation of anoikis (GO:2000811)	19	1	.10	+	9.59	1.04E-01	2	.13	+	15.26	8.98E-03
sarcomere organization (GO:0045214)	38	2	.21	+	9.59	2.01E-02	1	.26	+	3.82	2.35E-01
response to mineralocorticoid (GO:0051385)	38	2	.21	+	9.59	2.01E-02	1	.26	+	3.82	2.35E-01
spleen development (GO:0048536)	38	2	.21	+	9.59	2.01E-02	1	.26	+	3.82	2.35E-01
lymphocyte apoptotic process (GO:0070227)	38	2	.21	+	9.59	2.01E-02	1	.26	+	3.82	2.35E-01
isoprenoid metabolic process (GO:0006720)	135	7	.74	+	9.45	1.30E-05	5	.93	+	5.37	2.80E-03
terpenoid metabolic process (GO:0006721)	99	5	.54	+	9.20	2.65E-04	3	.68	+	4.39	3.30E-02
amine metabolic process (GO:0009308)	99	5	.54	+	9.20	2.65E-04	4	.68	+	5.86	5.53E-03
mitophagy (GO:0000423)	20	1	.11	+	9.11	1.09E-01	2	.14	+	14.50	9.84E-03
ribosome assembly (GO:0042255)	61	3	.33	+	8.96	5.18E-03	2	.42	+	4.75	6.94E-02
regulation of T-helper cell differentiation (GO:0045622)	41	2	.23	+	8.89	2.31E-02	1	.28	+	3.54	2.51E-01
acute-phase response (GO:0006953)	42	2	.23	+	8.68	2.41E-02	2	.29	+	6.90	3.65E-02
syncytium formation (GO:0006949)	42	2	.23	+	8.68	2.41E-02	0	.29	-	 < 0.01	1.00E00
positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	42	2	.23	+	8.68	2.41E-02	1	.29	+	3.45	2.56E-01
somatic diversification of immunoglobulins (GO:0016445)	42	2	.23	+	8.68	2.41E-02	1	.29	+	3.45	2.56E-01
NAD metabolic process (GO:0019674)	42	2	.23	+	8.68	2.41E-02	1	.29	+	3.45	2.56E-01
positive regulation of amine transport (GO:0051954)	43	2	.24	+	8.47	2.51E-02	1	.30	+	3.37	2.61E-01
response to copper ion (GO:0046688)	43	2	.24	+	8.47	2.51E-02	1	.30	+	3.37	2.61E-01
regulation of amyloid precursor protein catabolic process (GO:1902991)	43	2	.24	+	8.47	2.51E-02	0	.30	-	 < 0.01	1.00E00
cellular response to corticosteroid stimulus (GO:0071384)	65	3	.36	+	8.41	6.13E-03	4	.45	+	8.92	1.29E-03
response to dexamethasone (GO:0071548)	44	2	.24	+	8.28	2.61E-02	3	.30	+	9.89	4.09E-03
regulation of amino acid transport (GO:0051955)	44	2	.24	+	8.28	2.61E-02	1	.30	+	3.30	2.66E-01
digestion (GO:0007586)	112	5	.61	+	8.13	4.57E-04	3	.77	+	3.88	4.46E-02
biogenic amine metabolic process (GO:0006576)	90	4	.49	+	8.10	1.76E-03	3	.62	+	4.83	2.61E-02
regulation of keratinocyte proliferation (GO:0010837)	45	2	.25	+	8.10	2.72E-02	1	.31	+	3.22	2.71E-01
catecholamine metabolic process (GO:0006584)	46	2	.25	+	7.92	2.83E-02	1	.32	+	3.15	2.76E-01
catechol-containing compound metabolic process (GO:0009712)	46	2	.25	+	7.92	2.83E-02	1	.32	+	3.15	2.76E-01
regulation of defense response to virus by host (GO:0050691)	47	2	.26	+	7.75	2.94E-02	2	.32	+	6.17	4.44E-02
lymphocyte homeostasis (GO:0002260)	71	3	.39	+	7.70	7.75E-03	1	.49	+	2.04	3.91E-01
antigen processing and presentation of peptide antigen (GO:0048002)	71	3	.39	+	7.70	7.75E-03	1	.49	+	2.04	3.91E-01
leukocyte apoptotic process (GO:0071887)	48	2	.26	+	7.59	3.05E-02	1	.33	+	3.02	2.86E-01
regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	48	2	.26	+	7.59	3.05E-02	3	.33	+	9.06	5.15E-03
primary alcohol metabolic process (GO:0034308)	96	4	.53	+	7.59	2.21E-03	3	.66	+	4.53	3.06E-02
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	98	4	.54	+	7.44	2.37E-03	3	.68	+	4.44	3.22E-02
antiviral innate immune response (GO:0140374)	49	2	.27	+	7.44	3.16E-02	1	.34	+	2.96	2.91E-01
regulation of endothelial cell apoptotic process (GO:2000351)	49	2	.27	+	7.44	3.16E-02	2	.34	+	5.92	4.78E-02
axon extension (GO:0048675)	49	2	.27	+	7.44	3.16E-02	1	.34	+	2.96	2.91E-01
intermediate filament organization (GO:0045109)	74	3	.41	+	7.39	8.64E-03	2	.51	+	3.92	9.57E-02
body fluid secretion (GO:0007589)	74	3	.41	+	7.39	8.64E-03	2	.51	+	3.92	9.57E-02
endothelial cell development (GO:0001885)	50	2	.27	+	7.29	3.28E-02	0	.34	-	 < 0.01	1.00E00
secondary metabolic process (GO:0019748)	50	2	.27	+	7.29	3.28E-02	1	.34	+	2.90	2.96E-01
regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)	76	3	.42	+	7.19	9.27E-03	1	.52	+	1.91	4.12E-01
positive regulation of alpha-beta T cell differentiation (GO:0046638)	51	2	.28	+	7.15	3.40E-02	1	.35	+	2.84	3.01E-01
regulation of granulocyte chemotaxis (GO:0071622)	52	2	.29	+	7.01	3.51E-02	2	.36	+	5.58	5.29E-02
somatic diversification of immune receptors (GO:0002200)	52	2	.29	+	7.01	3.51E-02	1	.36	+	2.79	3.06E-01
regulation of anoikis (GO:2000209)	26	1	.14	+	7.01	1.37E-01	2	.18	+	11.15	1.57E-02
positive regulation of TOR signaling (GO:0032008)	52	2	.29	+	7.01	3.51E-02	2	.36	+	5.58	5.29E-02
pyridine-containing compound metabolic process (GO:0072524)	79	3	.43	+	6.92	1.03E-02	2	.54	+	3.67	1.06E-01
regulation of organic acid transport (GO:0032890)	80	3	.44	+	6.83	1.06E-02	2	.55	+	3.62	1.09E-01
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	54	2	.30	+	6.75	3.76E-02	3	.37	+	8.06	7.03E-03
response to vitamin (GO:0033273)	81	3	.44	+	6.75	1.10E-02	2	.56	+	3.58	1.11E-01
glycogen metabolic process (GO:0005977)	54	2	.30	+	6.75	3.76E-02	1	.37	+	2.69	3.15E-01
regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)	54	2	.30	+	6.75	3.76E-02	1	.37	+	2.69	3.15E-01
respiratory gaseous exchange by respiratory system (GO:0007585)	54	2	.30	+	6.75	3.76E-02	2	.37	+	5.37	5.64E-02
cellular response to type II interferon (GO:0071346)	109	4	.60	+	6.69	3.43E-03	2	.75	+	2.66	1.76E-01
cellular response to glucocorticoid stimulus (GO:0071385)	55	2	.30	+	6.63	3.88E-02	3	.38	+	7.91	7.37E-03
leukocyte cell-cell adhesion (GO:0007159)	56	2	.31	+	6.51	4.00E-02	1	.39	+	2.59	3.25E-01
glutamine metabolic process (GO:0006541)	28	1	.15	+	6.51	1.47E-01	3	.19	+	15.53	1.23E-03
cellular response to dexamethasone stimulus (GO:0071549)	28	1	.15	+	6.51	1.47E-01	3	.19	+	15.53	1.23E-03
glucan metabolic process (GO:0044042)	56	2	.31	+	6.51	4.00E-02	1	.39	+	2.59	3.25E-01
neurotransmitter metabolic process (GO:0042133)	28	1	.15	+	6.51	1.47E-01	2	.19	+	10.36	1.79E-02
B cell activation involved in immune response (GO:0002312)	57	2	.31	+	6.39	4.13E-02	2	.39	+	5.09	6.19E-02
negative regulation of innate immune response (GO:0045824)	86	3	.47	+	6.36	1.28E-02	2	.59	+	3.37	1.22E-01
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	58	2	.32	+	6.28	4.26E-02	1	.40	+	2.50	3.34E-01
water-soluble vitamin metabolic process (GO:0006767)	58	2	.32	+	6.28	4.26E-02	2	.40	+	5.00	6.37E-02
negative regulation of MAP kinase activity (GO:0043407)	58	2	.32	+	6.28	4.26E-02	1	.40	+	2.50	3.34E-01
negative regulation of response to wounding (GO:1903035)	88	3	.48	+	6.21	1.36E-02	2	.61	+	3.30	1.27E-01
negative regulation of epithelial cell apoptotic process (GO:1904036)	59	2	.32	+	6.18	4.39E-02	1	.41	+	2.46	3.38E-01
cardiac muscle hypertrophy (GO:0003300)	30	1	.16	+	6.07	1.56E-01	2	.21	+	9.67	2.02E-02
cellular response to hydrogen peroxide (GO:0070301)	62	2	.34	+	5.88	4.78E-02	1	.43	+	2.34	3.52E-01
striated muscle hypertrophy (GO:0014897)	31	1	.17	+	5.88	1.61E-01	2	.21	+	9.35	2.14E-02
nerve development (GO:0021675)	93	3	.51	+	5.88	1.57E-02	1	.64	+	1.56	4.77E-01
intermediate filament cytoskeleton organization (GO:0045104)	94	3	.52	+	5.82	1.61E-02	2	.65	+	3.08	1.41E-01
defense response to Gram-negative bacterium (GO:0050829)	94	3	.52	+	5.82	1.61E-02	2	.65	+	3.08	1.41E-01
intermediate filament-based process (GO:0045103)	95	3	.52	+	5.75	1.66E-02	2	.66	+	3.05	1.43E-01
endoplasmic reticulum organization (GO:0007029)	96	3	.53	+	5.69	1.70E-02	1	.66	+	1.51	4.87E-01
chaperone cofactor-dependent protein refolding (GO:0051085)	32	1	.18	+	5.69	1.65E-01	3	.22	+	13.59	1.75E-03
leukocyte homeostasis (GO:0001776)	97	3	.53	+	5.64	1.75E-02	1	.67	+	1.49	4.91E-01
immune system development (GO:0002520)	165	5	.91	+	5.52	2.42E-03	2	1.14	+	1.76	3.17E-01
muscle hypertrophy (GO:0014896)	33	1	.18	+	5.52	1.70E-01	2	.23	+	8.79	2.39E-02
vitamin metabolic process (GO:0006766)	99	3	.54	+	5.52	1.84E-02	2	.68	+	2.93	1.52E-01
response to type II interferon (GO:0034341)	133	4	.73	+	5.48	6.78E-03	3	.92	+	3.27	6.69E-02
response to hydrogen peroxide (GO:0042542)	100	3	.55	+	5.47	1.89E-02	3	.69	+	4.35	3.39E-02
maintenance of location in cell (GO:0051651)	101	3	.55	+	5.41	1.94E-02	3	.70	+	4.31	3.47E-02
protein localization to endoplasmic reticulum (GO:0070972)	68	2	.37	+	5.36	5.61E-02	3	.47	+	6.40	1.28E-02
endothelium development (GO:0003158)	102	3	.56	+	5.36	1.99E-02	0	.70	-	 < 0.01	1.00E00
multi-multicellular organism process (GO:0044706)	205	6	1.13	+	5.33	1.07E-03	4	1.41	+	2.83	5.58E-02
cellular response to ketone (GO:1901655)	105	3	.58	+	5.21	2.14E-02	4	.72	+	5.52	6.74E-03
bicarbonate transport (GO:0015701)	35	1	.19	+	5.21	1.79E-01	2	.24	+	8.29	2.65E-02
antigen processing and presentation (GO:0019882)	105	3	.58	+	5.21	2.14E-02	1	.72	+	1.38	5.18E-01
regulation of signal transduction by p53 class mediator (GO:1901796)	107	3	.59	+	5.11	2.24E-02	2	.74	+	2.71	1.72E-01
reactive oxygen species metabolic process (GO:0072593)	108	3	.59	+	5.06	2.29E-02	3	.74	+	4.03	4.09E-02
DNA damage checkpoint signaling (GO:0000077)	109	3	.60	+	5.01	2.35E-02	0	.75	-	 < 0.01	1.00E00
olefinic compound metabolic process (GO:0120254)	146	4	.80	+	4.99	9.27E-03	4	1.01	+	3.97	1.98E-02
negative regulation of protein serine/threonine kinase activity (GO:0071901)	110	3	.60	+	4.97	2.40E-02	2	.76	+	2.64	1.79E-01
negative regulation of protein catabolic process (GO:0042177)	110	3	.60	+	4.97	2.40E-02	2	.76	+	2.64	1.79E-01
'de novo' post-translational protein folding (GO:0051084)	37	1	.20	+	4.92	1.88E-01	3	.26	+	11.76	2.58E-03
amino acid biosynthetic process (GO:0008652)	74	2	.41	+	4.92	6.48E-02	6	.51	+	11.76	1.84E-05
response to virus (GO:0009615)	372	10	2.04	+	4.90	4.68E-05	4	2.57	+	1.56	3.31E-01
ovulation cycle (GO:0042698)	75	2	.41	+	4.86	6.63E-02	3	.52	+	5.80	1.65E-02
regulation of cytokine-mediated signaling pathway (GO:0001959)	153	4	.84	+	4.76	1.08E-02	2	1.06	+	1.90	2.87E-01
cellular component assembly involved in morphogenesis (GO:0010927)	115	3	.63	+	4.75	2.69E-02	1	.79	+	1.26	5.50E-01
regulation of alpha-beta T cell activation (GO:0046634)	115	3	.63	+	4.75	2.69E-02	2	.79	+	2.52	1.91E-01
defense response to virus (GO:0051607)	270	7	1.48	+	4.72	8.22E-04	3	1.86	+	1.61	4.39E-01
regulation of TOR signaling (GO:0032006)	116	3	.64	+	4.71	2.75E-02	3	.80	+	3.75	4.85E-02
actomyosin structure organization (GO:0031032)	116	3	.64	+	4.71	2.75E-02	2	.80	+	2.50	1.94E-01
defense response to symbiont (GO:0140546)	271	7	1.49	+	4.71	8.40E-04	3	1.87	+	1.61	4.40E-01
one-carbon metabolic process (GO:0006730)	39	1	.21	+	4.67	1.97E-01	2	.27	+	7.44	3.21E-02
prostaglandin metabolic process (GO:0006693)	39	1	.21	+	4.67	1.97E-01	2	.27	+	7.44	3.21E-02
prostanoid metabolic process (GO:0006692)	39	1	.21	+	4.67	1.97E-01	2	.27	+	7.44	3.21E-02
multi-organism reproductive process (GO:0044703)	195	5	1.07	+	4.67	4.84E-03	3	1.34	+	2.23	1.55E-01
DNA integrity checkpoint signaling (GO:0031570)	118	3	.65	+	4.63	2.87E-02	0	.81	-	 < 0.01	1.00E00
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	158	4	.87	+	4.61	1.20E-02	4	1.09	+	3.67	2.54E-02
sensory perception of sound (GO:0007605)	159	4	.87	+	4.58	1.23E-02	1	1.10	-	.91	1.00E00
complement activation, classical pathway (GO:0006958)	40	1	.22	+	4.56	2.01E-01	2	.28	+	7.25	3.36E-02
regulation of response to wounding (GO:1903034)	163	4	.89	+	4.47	1.33E-02	6	1.12	+	5.34	1.10E-03
response to testosterone (GO:0033574)	41	1	.23	+	4.44	2.06E-01	2	.28	+	7.07	3.50E-02
'de novo' protein folding (GO:0006458)	41	1	.23	+	4.44	2.06E-01	3	.28	+	10.61	3.39E-03
regulation of response to cytokine stimulus (GO:0060759)	164	4	.90	+	4.44	1.36E-02	2	1.13	+	1.77	3.15E-01
positive regulation of protein ubiquitination (GO:0031398)	124	3	.68	+	4.41	3.24E-02	2	.86	+	2.34	2.14E-01
hormone metabolic process (GO:0042445)	208	5	1.14	+	4.38	6.29E-03	7	1.43	+	4.88	7.13E-04
lymphocyte proliferation (GO:0046651)	125	3	.69	+	4.37	3.31E-02	1	.86	+	1.16	5.80E-01
response to corticosteroid (GO:0031960)	167	4	.92	+	4.36	1.44E-02	5	1.15	+	4.34	6.67E-03
negative regulation of inflammatory response (GO:0050728)	167	4	.92	+	4.36	1.44E-02	4	1.15	+	3.47	3.02E-02
